Date as of,First week,Last week,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
11/04/2020,02/01/2020,10/31/2020,AK,Anchorage Borough,2020,Medium metro,48,1544
11/04/2020,02/01/2020,10/31/2020,AK,Fairbanks North Star Borough,2090,Small metro,14,368
11/04/2020,02/01/2020,10/31/2020,AL,Autauga County,1001,Medium metro,27,386
11/04/2020,02/01/2020,10/31/2020,AL,Baldwin County,1003,Small metro,85,1664
11/04/2020,02/01/2020,10/31/2020,AL,Barbour County,1005,Noncore,13,205
11/04/2020,02/01/2020,10/31/2020,AL,Bibb County,1007,Large fringe metro,18,143
11/04/2020,02/01/2020,10/31/2020,AL,Blount County,1009,Large fringe metro,12,377
11/04/2020,02/01/2020,10/31/2020,AL,Butler County,1013,Noncore,27,170
11/04/2020,02/01/2020,10/31/2020,AL,Calhoun County,1015,Small metro,102,1205
11/04/2020,02/01/2020,10/31/2020,AL,Chambers County,1017,Micropolitan,10,288
11/04/2020,02/01/2020,10/31/2020,AL,Cherokee County,1019,Noncore,10,230
11/04/2020,02/01/2020,10/31/2020,AL,Chilton County,1021,Large fringe metro,18,308
11/04/2020,02/01/2020,10/31/2020,AL,Clay County,1027,Noncore,28,150
11/04/2020,02/01/2020,10/31/2020,AL,Coffee County,1031,Micropolitan,12,391
11/04/2020,02/01/2020,10/31/2020,AL,Colbert County,1033,Small metro,41,484
11/04/2020,02/01/2020,10/31/2020,AL,Covington County,1039,Noncore,56,433
11/04/2020,02/01/2020,10/31/2020,AL,Crenshaw County,1041,Noncore,26,154
11/04/2020,02/01/2020,10/31/2020,AL,Cullman County,1043,Micropolitan,34,779
11/04/2020,02/01/2020,10/31/2020,AL,Dale County,1045,Micropolitan,53,367
11/04/2020,02/01/2020,10/31/2020,AL,Dallas County,1047,Micropolitan,46,366
11/04/2020,02/01/2020,10/31/2020,AL,DeKalb County,1049,Noncore,21,525
11/04/2020,02/01/2020,10/31/2020,AL,Elmore County,1051,Medium metro,35,523
11/04/2020,02/01/2020,10/31/2020,AL,Escambia County,1053,Noncore,21,287
11/04/2020,02/01/2020,10/31/2020,AL,Etowah County,1055,Small metro,139,1276
11/04/2020,02/01/2020,10/31/2020,AL,Franklin County,1059,Noncore,13,229
11/04/2020,02/01/2020,10/31/2020,AL,Houston County,1069,Small metro,253,1569
11/04/2020,02/01/2020,10/31/2020,AL,Jackson County,1071,Micropolitan,18,480
11/04/2020,02/01/2020,10/31/2020,AL,Jefferson County,1073,Large central metro,654,7657
11/04/2020,02/01/2020,10/31/2020,AL,Lauderdale County,1077,Small metro,77,1113
11/04/2020,02/01/2020,10/31/2020,AL,Lee County,1081,Small metro,150,1013
11/04/2020,02/01/2020,10/31/2020,AL,Limestone County,1083,Medium metro,37,620
11/04/2020,02/01/2020,10/31/2020,AL,Madison County,1089,Medium metro,162,3209
11/04/2020,02/01/2020,10/31/2020,AL,Marengo County,1091,Noncore,16,184
11/04/2020,02/01/2020,10/31/2020,AL,Marion County,1093,Noncore,25,304
11/04/2020,02/01/2020,10/31/2020,AL,Marshall County,1095,Micropolitan,54,924
11/04/2020,02/01/2020,10/31/2020,AL,Mobile County,1097,Medium metro,443,4141
11/04/2020,02/01/2020,10/31/2020,AL,Montgomery County,1101,Medium metro,358,2475
11/04/2020,02/01/2020,10/31/2020,AL,Morgan County,1103,Small metro,60,1035
11/04/2020,02/01/2020,10/31/2020,AL,Pike County,1109,Micropolitan,16,227
11/04/2020,02/01/2020,10/31/2020,AL,Randolph County,1111,Noncore,11,170
11/04/2020,02/01/2020,10/31/2020,AL,Russell County,1113,Medium metro,12,295
11/04/2020,02/01/2020,10/31/2020,AL,St. Clair County,1115,Large fringe metro,43,612
11/04/2020,02/01/2020,10/31/2020,AL,Shelby County,1117,Large fringe metro,88,1123
11/04/2020,02/01/2020,10/31/2020,AL,Talladega County,1121,Micropolitan,32,663
11/04/2020,02/01/2020,10/31/2020,AL,Tallapoosa County,1123,Noncore,70,420
11/04/2020,02/01/2020,10/31/2020,AL,Tuscaloosa County,1125,Small metro,237,1836
11/04/2020,02/01/2020,10/31/2020,AL,Walker County,1127,Large fringe metro,72,797
11/04/2020,02/01/2020,10/31/2020,AL,Washington County,1129,Noncore,10,99
11/04/2020,02/01/2020,10/31/2020,AL,Winston County,1133,Noncore,10,213
11/04/2020,02/01/2020,10/31/2020,AR,Baxter County,5005,Micropolitan,25,690
11/04/2020,02/01/2020,10/31/2020,AR,Benton County,5007,Medium metro,142,1475
11/04/2020,02/01/2020,10/31/2020,AR,Boone County,5009,Micropolitan,24,341
11/04/2020,02/01/2020,10/31/2020,AR,Chicot County,5017,Noncore,12,85
11/04/2020,02/01/2020,10/31/2020,AR,Columbia County,5027,Micropolitan,18,211
11/04/2020,02/01/2020,10/31/2020,AR,Craighead County,5031,Small metro,162,1646
11/04/2020,02/01/2020,10/31/2020,AR,Crittenden County,5035,Large fringe metro,21,284
11/04/2020,02/01/2020,10/31/2020,AR,Faulkner County,5045,Medium metro,47,835
11/04/2020,02/01/2020,10/31/2020,AR,Garland County,5051,Small metro,97,1387
11/04/2020,02/01/2020,10/31/2020,AR,Howard County,5061,Noncore,10,120
11/04/2020,02/01/2020,10/31/2020,AR,Independence County,5063,Micropolitan,59,422
11/04/2020,02/01/2020,10/31/2020,AR,Jefferson County,5069,Small metro,102,769
11/04/2020,02/01/2020,10/31/2020,AR,Little River County,5081,Small metro,25,124
11/04/2020,02/01/2020,10/31/2020,AR,Lonoke County,5085,Medium metro,13,353
11/04/2020,02/01/2020,10/31/2020,AR,Mississippi County,5093,Micropolitan,22,296
11/04/2020,02/01/2020,10/31/2020,AR,Newton County,5101,Micropolitan,13,80
11/04/2020,02/01/2020,10/31/2020,AR,Pope County,5115,Micropolitan,22,517
11/04/2020,02/01/2020,10/31/2020,AR,Pulaski County,5119,Medium metro,352,5018
11/04/2020,02/01/2020,10/31/2020,AR,Randolph County,5121,Noncore,13,127
11/04/2020,02/01/2020,10/31/2020,AR,Saline County,5125,Medium metro,29,705
11/04/2020,02/01/2020,10/31/2020,AR,Sebastian County,5131,Medium metro,136,1777
11/04/2020,02/01/2020,10/31/2020,AR,Stone County,5137,Noncore,13,130
11/04/2020,02/01/2020,10/31/2020,AR,Union County,5139,Micropolitan,49,431
11/04/2020,02/01/2020,10/31/2020,AR,Washington County,5143,Medium metro,181,1859
11/04/2020,02/01/2020,10/31/2020,AR,White County,5145,Micropolitan,37,714
11/04/2020,02/01/2020,10/31/2020,AZ,Apache County,4001,Noncore,42,421
11/04/2020,02/01/2020,10/31/2020,AZ,Cochise County,4003,Small metro,31,844
11/04/2020,02/01/2020,10/31/2020,AZ,Coconino County,4005,Small metro,131,988
11/04/2020,02/01/2020,10/31/2020,AZ,Gila County,4007,Micropolitan,34,563
11/04/2020,02/01/2020,10/31/2020,AZ,Graham County,4009,Micropolitan,23,237
11/04/2020,02/01/2020,10/31/2020,AZ,Maricopa County,4013,Large central metro,3544,32851
11/04/2020,02/01/2020,10/31/2020,AZ,Mohave County,4015,Small metro,193,2739
11/04/2020,02/01/2020,10/31/2020,AZ,Navajo County,4017,Micropolitan,65,832
11/04/2020,02/01/2020,10/31/2020,AZ,Pima County,4019,Medium metro,746,9498
11/04/2020,02/01/2020,10/31/2020,AZ,Pinal County,4021,Large fringe metro,86,2063
11/04/2020,02/01/2020,10/31/2020,AZ,Yavapai County,4025,Small metro,83,2469
11/04/2020,02/01/2020,10/31/2020,AZ,Yuma County,4027,Small metro,312,1697
11/04/2020,02/01/2020,10/31/2020,CA,Alameda County,6001,Large central metro,448,8259
11/04/2020,02/01/2020,10/31/2020,CA,Amador County,6005,Noncore,28,327
11/04/2020,02/01/2020,10/31/2020,CA,Butte County,6007,Small metro,52,1692
11/04/2020,02/01/2020,10/31/2020,CA,Calaveras County,6009,Noncore,11,288
11/04/2020,02/01/2020,10/31/2020,CA,Contra Costa County,6013,Large fringe metro,219,6143
11/04/2020,02/01/2020,10/31/2020,CA,Fresno County,6019,Medium metro,438,6310
11/04/2020,02/01/2020,10/31/2020,CA,Imperial County,6025,Small metro,192,954
11/04/2020,02/01/2020,10/31/2020,CA,Inyo County,6027,Noncore,14,146
11/04/2020,02/01/2020,10/31/2020,CA,Kern County,6029,Medium metro,426,5226
11/04/2020,02/01/2020,10/31/2020,CA,Kings County,6031,Small metro,120,766
11/04/2020,02/01/2020,10/31/2020,CA,Lake County,6033,Micropolitan,14,495
11/04/2020,02/01/2020,10/31/2020,CA,Los Angeles County,6037,Large central metro,6300,57093
11/04/2020,02/01/2020,10/31/2020,CA,Madera County,6039,Small metro,91,790
11/04/2020,02/01/2020,10/31/2020,CA,Marin County,6041,Large fringe metro,101,1550
11/04/2020,02/01/2020,10/31/2020,CA,Mendocino County,6045,Micropolitan,17,649
11/04/2020,02/01/2020,10/31/2020,CA,Merced County,6047,Medium metro,86,1225
11/04/2020,02/01/2020,10/31/2020,CA,Monterey County,6053,Medium metro,86,2114
11/04/2020,02/01/2020,10/31/2020,CA,Napa County,6055,Small metro,21,935
11/04/2020,02/01/2020,10/31/2020,CA,Orange County,6059,Large central metro,1375,17042
11/04/2020,02/01/2020,10/31/2020,CA,Placer County,6061,Large fringe metro,104,3010
11/04/2020,02/01/2020,10/31/2020,CA,Riverside County,6065,Large central metro,1361,14663
11/04/2020,02/01/2020,10/31/2020,CA,Sacramento County,6067,Large central metro,472,9793
11/04/2020,02/01/2020,10/31/2020,CA,San Bernardino County,6071,Large fringe metro,1221,13079
11/04/2020,02/01/2020,10/31/2020,CA,San Diego County,6073,Large central metro,1080,18293
11/04/2020,02/01/2020,10/31/2020,CA,San Francisco County,6075,Large central metro,152,4869
11/04/2020,02/01/2020,10/31/2020,CA,San Joaquin County,6077,Medium metro,465,4634
11/04/2020,02/01/2020,10/31/2020,CA,San Luis Obispo County,6079,Medium metro,30,1756
11/04/2020,02/01/2020,10/31/2020,CA,San Mateo County,6081,Large fringe metro,174,3601
11/04/2020,02/01/2020,10/31/2020,CA,Santa Barbara County,6083,Medium metro,135,2548
11/04/2020,02/01/2020,10/31/2020,CA,Santa Clara County,6085,Large central metro,365,8724
11/04/2020,02/01/2020,10/31/2020,CA,Santa Cruz County,6087,Medium metro,34,1264
11/04/2020,02/01/2020,10/31/2020,CA,Shasta County,6089,Small metro,32,1867
11/04/2020,02/01/2020,10/31/2020,CA,Solano County,6095,Medium metro,102,2627
11/04/2020,02/01/2020,10/31/2020,CA,Sonoma County,6097,Medium metro,147,3328
11/04/2020,02/01/2020,10/31/2020,CA,Stanislaus County,6099,Medium metro,504,4399
11/04/2020,02/01/2020,10/31/2020,CA,Tehama County,6103,Micropolitan,10,416
11/04/2020,02/01/2020,10/31/2020,CA,Tulare County,6107,Medium metro,288,2575
11/04/2020,02/01/2020,10/31/2020,CA,Ventura County,6111,Medium metro,178,4531
